미원에스씨,268280,기초화학물질 제조업,에너지경화수지
경동도시가스,267290,가스 제조 및 배관공급업,도시가스
넷마블게임즈,251270,소프트웨어 개발 및 공급업,온라인·모바일 게임 소프트웨어 개발 및 공급
아이엔지생명,079440,보험업,생명보험상품
현대건설기계,267270,일반 목적용 기계 제조업,"굴삭기, 지게차, 휠로더 등"
현대로보틱스,267250,"회사본부, 지주회사 및 경영컨설팅 서비스업","산업용 로봇, 클린용 로봇, 조선 기자재 등"
현대일렉트릭,267260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","변압기, 고압차단기, 회전기, 배전반 등"
크라운제과,264900,기타 식품 제조업,"비스킷, 스낵, 당과"
덴티움,145720,의료용 기기 제조업,치과용 기기 제조업
호전실업,111110,봉제의복 제조업,스포츠웨어 및 아웃도어 웨어 OEM
핸즈코퍼레이션,143210,자동차 부품 제조업,자동차 알루미늄 휠
두산밥캣,241560,"회사본부, 지주회사 및 경영컨설팅 서비스업","Compact Equipment, Heavy Equipment, Portable Power"
삼성바이오로직스,207940,기초 의약물질 및 생물학적 제제 제조업,바이오의약품
JW생명과학,234080,의약품 제조업,"기초수액, TPN, 특수수액, HEMO, 영양수액 등"
화승엔터프라이즈,241590,"회사본부, 지주회사 및 경영컨설팅 서비스업",
LS전선아시아,229640,"회사본부, 지주회사 및 경영컨설팅 서비스업",
모두투어리츠,204210,부동산 임대 및 공급업,"호텔 부동산 취득, 관리, 개량 및 처분"
일동제약,249420,의약품 제조업,"아로나민, 후루마린, 큐란, 라비에트, 사미온 등"
샘표식품,248170,기타 식품 제조업,간장
두올,016740,자동차 부품 제조업,시트 커버 및 시트 원단
동서,026960,음·식료품 및 담배 도매업,"식품 유통, 다류 및 연포장재 제조 등"
한국자산신탁,123890,기타 금융업,"부동산 신탁 서비스, REITs"
한국토지신탁,034830,기타 금융업,부동산신탁 등
해성디에스,195870,전자부품 제조업,반도체 패키지용 Substrate
용평리조트,070960,숙박시설 운영업,"리조트 운영, 콘도 분양"
해태제과식품,101530,기타 식품 제조업,"홈런볼, 오예스, 맛동산, 부라보콘 등"
대림씨엔에스,004440,"시멘트, 석회, 플라스터 및 그 제품 제조업","PHC파일, 골재, 강교제작"
제이에스코퍼레이션,194370,"가죽, 가방 및 유사제품 제조업",핸드백 및 지갑
코리아오토글라스,152330,유리 및 유리제품 제조업,자동차 안전 유리
잇츠한불,226320,가정용품 도매업,"스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등"
세진중공업,075580,선박 및 보트 건조업,"선박 Deck House, LPG Tank, Upper Deck Unit, 해양플랜트 Living Quarter"
금호에이치티,214330,자동차 부품 제조업,자동차용 전구 및 LED모듈
제주항공,089590,정기 항공 운송업,"여객운송서비스, 화물운송서비스"
현대코퍼레이션홀딩스,227840,음·식료품 및 담배 도매업,"브랜드사업, 육류유통"
LIG넥스원,079550,무기 및 총포탄 제조업,정밀유도무기 등
동일제강,002690,1차 철강 제조업,"PC강연선, 경강선, 도금선, 마봉강"
아이콘트롤스,039570,전기 및 통신 공사업,"기계설비공사, 스마트홈, 지능형 빌딩, SOC"
