name,code,roe,pbr,per
넷마블게임즈,251270,2.85,8.44,55.72
크라운제과,264900,2.43,1.52,19.3
덴티움,145720,3.64,6.52,22.73
핸즈코퍼레이션,143210,2.07,0.66,4.37
두산밥캣,241560,1.3,1.04,19.59
JW생명과학,234080,5.28,2.81,16.74
화승엔터프라이즈,241590,2.92,2.59,11.94
LS전선아시아,229640,2.92,1.54,14.2
샘표식품,248170,2.9,1.68,30.26
두올,016740,2.2,0.7,6.51
동서,026960,3.39,2.6,25.75
한국자산신탁,123890,6.5,2.1,11.12
한국토지신탁,034830,4.92,1.54,10.4
해성디에스,195870,4.17,2.1,16.95
용평리조트,070960,1.54,1.56,39.66
대림씨엔에스,004440,1.86,0.75,5.57
코리아오토글라스,152330,4.94,1.45,9.57
잇츠한불,226320,3.22,2.23,13.26
세진중공업,075580,1.45,1.01,11.34
제주항공,089590,6.22,3.83,19.46
현대코퍼레이션홀딩스,227840,1.49,0.76,22.13
동일제강,002690,1.11,0.42,11.62
아이콘트롤스,039570,3.08,1.48,13.79
AJ네트웍스,095570,1.84,1.25,25.87
이노션,214320,1.55,1.91,19.13
경보제약,214390,2.71,2.5,25.52
SK디앤디,210980,4.2,2.65,20.49
엔에스쇼핑,138250,4.54,1.51,11.39
한솔제지,213500,4.11,0.9,8.26
디와이파워,210540,6.57,1.73,18.16
삼성물산,028260,1.13,1.2,237.08
우리은행,000030,3.12,0.55,8.92
삼성에스디에스,018260,1.75,2.36,26.19
만도,204320,2.28,1.64,12.07
서연이화,200880,2.25,0.63,4.58
쿠쿠전자,192400,3.58,2.16,18.07
광주은행,192530,2.87,0.45,6.45
BGF리테일,027410,3.49,5.95,29.97
코스맥스,192820,1.66,5.31,29.72
종근당,185750,3.2,3.08,26.65
JB금융지주,175330,2.07,0.42,6.78
DSR,155660,2.47,0.78,9.63
지엠비코리아,013870,2.04,0.48,5.64
CJ헬로비전,037560,1.01,0.71,31.8
한국콜마,161890,5.48,5.68,28.86
한국타이어,161390,2.84,1.32,9
애경유화,161000,5.58,2.02,9.62
AJ렌터카,068400,1.42,1.3,38.19
사조씨푸드,014710,2.76,0.65,15.76
GS리테일,007070,1.17,1.97,14.26
하나투어,039130,2.8,5.36,132.51
에이블씨엔씨,078520,1.47,2.16,24.09
삼원강재,023000,1.37,0.8,10.68
신세계인터내셔날,031430,1.35,1.07,29.44
한국항공우주,047810,2.66,4.03,21.12
엠케이트렌드,069640,2.34,1.13,34.68
코오롱플라스틱,138490,1.73,1.59,14.2
이마트,139480,1.69,0.81,16.49
DGB금융지주,139130,2.45,0.54,6.87
케이티스카이라이프,053210,3.34,1.43,11.35
세아특수강,019440,2.52,0.62,7.95
메리츠금융지주,138040,5.82,1.14,8.06
BNK금융지주,138930,2.46,0.51,6.79
일진머티리얼즈,020150,3.68,3.71,27.02
선진,136490,8.64,1.71,10.12
미원화학,134380,3.53,1.7,11.28
팀스,134790,1.49,1.93,370.15
대성에너지,117580,5.55,0.62,12.91
현대에이치씨엔,126560,1.89,0.74,10.06
케이티스,058860,1.87,0.77,12.4
한전산업,130660,10.01,2.32,11.49
코라오홀딩스,900140,2.72,0.68,6.95
휠라코리아,081660,1.11,1.09,2.89
현대홈쇼핑,057050,3.19,1.05,12
아이마켓코리아,122900,1.64,1.23,18.91
한미약품,128940,2.86,6.8,192.68
무학,033920,6.3,1.37,11.1
이연제약,102460,2.43,2.03,33.26
한국화장품,123690,11.7,5.24,19.95
한라홀딩스,060980,1.5,0.75,9.29
삼성생명,032830,2.18,0.76,11.05
신세계푸드,031440,1.19,2.08,43.36
한화생명,088350,3.06,0.59,7.36
조선선재,120030,4.61,1.11,6.96
코오롱인더,120110,1.31,1.02,11.88
KC코트렐,119650,4.47,1.17,82.67
지역난방공사,071320,4.59,0.49,7.04
락앤락,115390,1.3,1.19,17.33
GKL,114090,3.5,2.69,12.2
SK,034730,4.51,1.17,25.29
황금에스티,032560,3.93,0.63,6.03
동양생명,082640,5.73,0.56,88.39
키움증권,039490,4.81,1.6,11.09
영원무역,111770,2.54,1.24,14.12
아주캐피탈,033660,2.54,0.59,8.88
한미글로벌,053690,3.2,1.15,13.19
동아지질,028100,3.29,1.02,13.6
LG하우시스,108670,1.38,1.19,14.91
한세실업,105630,2.46,2.46,23.85
미원홀딩스,107590,4.96,2.91,19.85
NAVER,035420,5.6,6.79,37.26
KB금융,105560,2.79,0.69,9.87
풍산,103140,4.54,0.89,8.01
LG이노텍,011070,2.05,2.13,765.55
동성코퍼레이션,102260,2,0.94,7.72
LG유플러스,032640,2.75,1.51,14.75
아시아나항공,020560,10.55,1.39,24.02
진양홀딩스,100250,1.03,0.61,11.44
한전KPS,051600,3.72,2.73,24.39
KSS해운,044450,1.06,0.87,15.6
효성 ITX,094280,6.1,3.99,29.71
유나이티드,033270,2.75,1.74,17.28
CJ제일제당,097950,2.43,1.52,19.3
팬오션,028670,1.31,1.06,27.45
SK이노베이션,096770,4.94,0.85,8.72
삼성카드,029780,1.71,0.65,13.01
알루코,001780,3.5,1.69,14.22
웅진씽크빅,095720,2.03,0.97,11.94
후성,093370,7.98,6.19,14.42
LF,093050,1.93,0.84,17.15
인천도시가스,034590,3,0.78,15.78
삼정펄프,009770,2.09,0.65,6.01
KPX홀딩스,092230,1.04,0.47,9.49
현대EP,089470,2.92,0.95,4.98
아모레퍼시픽,090430,5.62,5.4,32.77
신세계I&C,035510,1.16,0.86,56.15
진도,088790,4.4,0.8,9.16
현대글로비스,086280,7.01,1.66,11.38
하나금융지주,086790,2.18,0.55,9.23
제일연마,001560,1.86,0.67,13.43
현대리바트,079430,2.57,1.44,12.36
대한제강,084010,1.68,0.58,7
새론오토모티브,075180,1.32,0.7,6.69
대상홀딩스,084690,2.04,0.86,14.92
동양고속,084670,1.08,0.76,14.42
동일산업,004890,2,0.5,13.13
삼호개발,010960,6.15,0.83,7.67
일진다이아,081000,1.88,1.14,20.68
유니드,014830,1.87,0.7,8.87
상신브레이크,041650,2.95,0.91,7.89
사조해표,079660,5.42,0.64,72.12
인팩,023810,2.5,0.61,6.97
GS,078930,5.71,0.88,7.59
유니퀘스트,077500,2.7,1.08,45.75
동아에스텍,058730,3.02,1.04,8.53
LG디스플레이,034220,4.85,0.99,14.19
NICE,034310,2.12,1.2,12.51
대교,019680,2.01,1.13,20.12
기업은행,024110,2.42,0.5,7.72
이엔쓰리,074610,1.27,5.87,37.12
강원랜드,035250,4.03,2.18,16.49
한국금융지주,071050,4.28,1.13,14.38
하이스틸,071090,3.47,0.4,12.83
DSR제강,069730,1.58,0.68,9.9
태경화학,006890,1.69,0.64,16.11
한농화성,011500,1.12,0.81,9.63
현대백화점,069960,2.76,0.68,9.38
휴켐스,069260,6.06,2.04,24.69
포스코강판,058430,4.26,1.1,7.23
삼성출판사,068290,1.52,1.23,18.48
세이브존I&C,067830,2.01,0.55,7.94
교보증권,030610,2.43,0.5,6.15
한샘,009240,6.01,6.18,34.14
신세계건설,034300,4.3,1.05,3.54
LG전자,066570,6.54,1.28,200.71
한국콜마홀딩스,024720,3.1,2.16,14.99
광주신세계,037710,2.12,0.77,8.97
필룩스,033180,1.82,1.31,17.71
종근당바이오,063160,1.61,0.87,12.67
신한지주,055550,3.2,0.74,8.38
코웨이,021240,6.96,6.29,32.05
세아홀딩스,058650,1.75,0.36,6.86
LG생활건강,051900,6.95,6.42,30.28
LG화학,051910,3.7,1.41,15.72
포스코대우,047050,3.47,1.01,22.88
두산인프라코어,042670,2.58,0.84,27.44
동원F&B,049770,4.18,1.63,16.98
한국내화,010040,1.27,0.61,12.29
한세예스24홀딩스,016450,4.16,1.65,28.22
대성홀딩스,016710,4.83,0.4,10.96
대원제약,003220,2.05,2.2,17.85
팜스코,036580,5.77,1.63,18.09
케이티앤지,033780,3.39,2.15,13.38
현대중공업,009540,3.02,0.72,24.33
디씨엠,024090,3.79,0.91,8.43
AK홀딩스,006840,3.77,1.53,13.54
대한유화,006650,5.85,1.14,5.68
백산,035150,4.55,1.73,9.88
케이티,030200,1.75,0.69,11.88
하이트론씨스템즈,019490,1.56,0.52,8.93
제일기획,030000,2.26,2.38,23.34
디피씨,026890,1.66,1.19,13.23
케이씨텍,029460,5.78,2.31,16.19
대원화성,024890,1.59,1.39,13.77
SK가스,018670,2.02,0.81,6.84
다우기술,023590,3.45,1,9.87
영보화학,014440,1.03,0.82,8.7
SKC,011790,1.6,0.84,28.52
부산도시가스,015350,3.84,0.69,8.37
인지컨트롤스,023800,1.27,0.4,8.16
경동인베스트,012320,2.27,0.35,11.01
SK하이닉스,000660,7.72,1.88,15.8
MH에탄올,023150,3.06,0.93,7.45
예스코,015360,3.08,0.32,6.67
